"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Michael Conforto","Mets","27.7%","68.6%","44.2%","57.8%","86.8%","76.0%","40.3%","60.5%","10.6%","16376"
"Brad Miller","Cardinals","27.7%","59.6%","39.7%","61.5%","74.7%","68.9%","37.6%","59.6%","12.3%","12775"
"Andrew Benintendi","Red Sox","27.7%","69.6%","44.5%","44.7%","84.4%","69.6%","40.2%","59.6%","13.5%","17901"
"Xander Bogaerts","Red Sox","27.8%","65.7%","43.6%","66.0%","86.5%","78.9%","41.9%","58.7%","9.2%","12161"
"Alex Gordon","Royals","27.8%","73.2%","47.0%","69.0%","83.6%","78.6%","42.4%","56.0%","10.0%","5209"
"D.J. Stewart","Orioles","27.8%","78.9%","48.4%","48.8%","75.2%","66.1%","40.3%","63.4%","16.4%","17766"
"Nick Senzel","Reds","27.8%","77.4%","48.2%","64.3%","89.0%","80.6%","41.2%","66.7%","9.3%","19293"
"Domingo Santana","Indians","27.8%","72.1%","46.1%","53.7%","83.7%","73.0%","41.2%","71.4%","12.4%","10348"
"Manny Machado","Padres","27.8%","73.3%","46.7%","63.2%","88.4%","79.6%","41.6%","63.8%","9.5%","11493"
"Danny Mendick","White Sox","27.8%","59.2%","42.1%","67.6%","82.5%","77.2%","45.5%","57.9%","9.6%","18889"
"Isaac Paredes","Tigers","27.9%","61.5%","41.9%","67.1%","96.5%","85.1%","41.6%","57.4%","6.2%","20036"
"Travis Shaw","Blue Jays","28.0%","70.5%","46.7%","63.1%","79.5%","74.0%","44.0%","59.4%","12.1%","11982"
"Jason Kipnis","Cubs","28.0%","58.2%","39.5%","59.2%","90.1%","76.5%","37.9%","53.3%","9.3%","9776"
"Paul DeJong","Cardinals","28.0%","76.5%","48.5%","45.5%","81.9%","69.8%","42.4%","59.2%","14.7%","18015"
"Freddy Galvis","Reds","28.0%","69.3%","45.0%","61.8%","82.4%","74.8%","41.1%","54.1%","11.3%","6609"
"Nicky Lopez","Royals","28.1%","66.0%","44.2%","71.1%","86.2%","80.7%","42.5%","62.5%","8.5%","19339"
"J.T. Realmuto","Phillies","28.1%","69.8%","45.3%","61.0%","80.3%","73.2%","41.1%","56.9%","12.1%","11739"
"Freddie Freeman","Braves","28.2%","80.7%","48.2%","74.7%","86.0%","81.9%","38.1%","54.6%","8.7%","5361"
"Josh Reddick","Astros","28.3%","69.9%","46.3%","64.2%","87.0%","79.1%","43.3%","61.9%","9.7%","3892"
"Shohei Ohtani","Angels","28.3%","67.0%","44.8%","59.2%","76.8%","70.4%","42.6%","52.6%","13.3%","19755"
"Nick Markakis","Braves","28.3%","60.4%","42.9%","82.4%","94.0%","89.8%","45.5%","53.2%","4.4%","5930"
"Luis Rengifo","Angels","28.3%","60.9%","42.0%","62.5%","89.3%","78.8%","42.0%","63.2%","8.9%","19858"
"Shogo Akiyama","Reds","28.4%","61.2%","42.5%","71.4%","88.9%","82.2%","43.0%","61.2%","7.6%","27461"
"Evan White","Mariners","28.4%","63.5%","43.8%","45.5%","76.2%","65.0%","44.0%","63.4%","15.3%","20078"
"Dansby Swanson","Braves","28.5%","72.3%","47.2%","59.0%","76.8%","70.6%","42.6%","58.0%","13.9%","18314"
"Matt Joyce","Marlins","28.6%","67.1%","43.4%","56.6%","76.8%","68.6%","38.4%","57.4%","13.6%","3353"
"Jeff Mathis","Rangers","28.6%","67.8%","45.4%","40.9%","78.2%","64.8%","42.8%","57.4%","16.0%","3448"
"Cam Gallagher","Royals","28.6%","56.7%","40.6%","80.0%","83.1%","81.8%","42.6%","60.0%","7.4%","12981"
"Orlando Arcia","Brewers","28.6%","71.0%","46.5%","69.8%","85.3%","79.8%","42.2%","59.8%","9.4%","13185"
"Myles Straw","Astros","28.6%","62.1%","43.2%","73.7%","88.4%","82.9%","43.5%","66.3%","7.4%","17620"
"Kevin Kiermaier","Rays","28.6%","72.5%","46.2%","54.5%","81.6%","71.5%","40.1%","56.0%","13.2%","11038"
"Phil Gosselin","Phillies","28.7%","58.8%","40.2%","71.6%","81.9%","77.4%","38.3%","56.9%","9.1%","10953"
"Tyler O'Neill","Cardinals","28.8%","70.4%","45.5%","51.4%","77.3%","67.5%","40.2%","65.0%","14.8%","15711"
"Ehire Adrianza","Twins","28.8%","68.9%","46.3%","69.7%","92.6%","84.6%","43.6%","56.4%","7.1%","8418"
"Jedd Gyorko","Brewers","28.8%","61.4%","42.2%","45.8%","83.9%","68.6%","41.2%","58.5%","13.3%","10816"
"Ty France","- - -","28.8%","70.8%","45.9%","62.9%","85.9%","77.3%","40.7%","57.4%","10.4%","17982"
